checked_at,source,brand,name,mrp,price,discount_pct,price_per_100g,in_stock,url
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate - Single Serving Sachet Combo Pack (Rich Chocolate / Pack of 5),450.0,396.0,12.0,,True,https://in.fastandup.com/products/plant-protein-rich-chocolate-single-serving-sachet-combo-pack
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate - Single Serving Sachet Combo Pack (Rich Chocolate / Pack of 10),900.0,765.0,15.0,,True,https://in.fastandup.com/products/plant-protein-rich-chocolate-single-serving-sachet-combo-pack
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate - Single Serving Sachet Combo Pack (Rich Chocolate / Pack of 15),1350.0,1107.0,18.0,,True,https://in.fastandup.com/products/plant-protein-rich-chocolate-single-serving-sachet-combo-pack
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Cookies & Cream - 500g,1599.0,1199.0,25.0,239.8,True,https://in.fastandup.com/products/plant-protein-cookies-cream-500g
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate – 500gms,1599.0,1199.0,25.0,239.8,True,https://in.fastandup.com/products/plant-protein-powder-500gms
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Alphonso Mango - 1Kg,3115.0,2181.0,30.0,218.1,True,https://in.fastandup.com/products/plant-protein-alphonso-mango-25-servings
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Kesar Kulfi - 1kg,3115.0,2181.0,30.0,218.1,False,https://in.fastandup.com/products/plant-protein-powder-special-festive-pack
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Cookies & Cream - 1Kg,3115.0,2181.0,30.0,218.1,True,https://in.fastandup.com/products/plant-protein-cookies-cream-1-kg
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Strawberry Blast - 25 Servings,3115.0,2181.0,30.0,,False,https://in.fastandup.com/products/plant-protein-strawberry-25-servings
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate - 1kg,3115.0,2181.0,30.0,218.1,True,https://in.fastandup.com/products/plant-protein-rich-chocolate-1kg
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein - Cookies & Cream - 500g Pack of 2,3198.0,2239.0,30.0,447.8,True,https://in.fastandup.com/products/plant-protein-cookies-cream-500g-pack-of-2
2026-09-05 13:12 IST,Fast&Up,Fastandup,Daily Fiber + Plant Protein Rich Chocolate Combo,3715.0,2299.0,38.1,,True,https://in.fastandup.com/products/daily-fiber-plant-protein-rich-chocolate-combo
2026-09-05 13:12 IST,Fast&Up,Fastandup,Plant Protein Rich Chocolate - 1kg pouch+ Plant Protein Cookies Cream- 1kg Pouch,6230.0,3427.0,45.0,342.7,False,https://in.fastandup.com/products/plant-protein-rich-chocolate-1kg-pouch-plant-protein-cookies-cream-1kg-pouch
2026-09-05 13:12 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Mango),139.0,139.0,0.0,,True,https://oziva.in/products/plant-protein-pro-digest
2026-09-05 13:12 IST,OZiva,OZiva,Pro-Collagen Protein Peptides Caramel | 250g,799.0,433.0,45.8,173.2,True,https://oziva.in/products/pro-collagen-protein-peptides-caramel-250g
2026-09-05 13:12 IST,OZiva,OZiva,"Vegan Collagen, Clinically Proven (Watermelon / Starter Pack-125g)",499.0,459.0,8.0,367.2,True,https://oziva.in/products/plant-based-collagen
2026-09-05 13:12 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Assorted),699.0,699.0,0.0,,True,https://oziva.in/products/plant-protein-pro-digest
2026-09-05 13:12 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Chocolate),699.0,699.0,0.0,,False,https://oziva.in/products/plant-protein-pro-digest
2026-09-05 13:12 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Strawberry),699.0,699.0,0.0,,False,https://oziva.in/products/plant-protein-pro-digest
2026-09-05 13:12 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Vanilla),699.0,699.0,0.0,,False,https://oziva.in/products/plant-protein-pro-digest
2026-09-05 13:12 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Assorted / Starter Pack),699.0,699.0,0.0,,True,https://oziva.in/products/oziva-bioactive-plant-protein-with-25g-vegan-protein-5-5-bcaas-100-rda-vitamins-minerals-ayurvedic-herbs-for-better-endurance-stamina-muscle-recovery-1-kg
2026-09-05 13:12 IST,OZiva,OZiva,Daily Protein Activ for Women (Rich Chocolate / Starter Pack),799.0,749.0,6.3,,True,https://oziva.in/products/daily-protein-activ-for-women-with-clean-whey-protein-multivitamins-tulsi-probiotics-for-improved-everyday-energy-stamina-bone-health-immune-health
